                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     91,                0.26437,                0.20491,                0.81379,                0.98374,                      1,                0.98867,                0.94347,                0.32845,                0.22623,                0.74348,               0.000218,               0.000218,               0.000218
                     92,                0.25735,                0.19471,                0.81204,                 0.9838,                      1,                 0.9845,                0.94121,                 0.3251,                0.23767,                 0.7421,              0.0001982,              0.0001982,              0.0001982
                     93,                 0.2559,                0.19463,                0.80412,                0.98374,                      1,                0.98211,                0.93359,                0.33403,                0.23862,                 0.7423,              0.0001784,              0.0001784,              0.0001784
                     94,                0.24616,                0.18338,                0.80234,                0.98195,                      1,                0.98032,                0.92702,                0.33424,                0.23201,                0.73717,              0.0001586,              0.0001586,              0.0001586
                     95,                0.24888,                0.18343,                0.79995,                0.98231,                      1,                0.98016,                0.92829,                 0.3248,                0.23286,                0.73451,              0.0001388,              0.0001388,              0.0001388
                     96,                 0.2485,                0.18094,                0.80843,                0.98318,                      1,                0.97968,                0.93152,                0.32448,                0.23014,                0.73539,               0.000119,               0.000119,               0.000119
                     97,                0.24753,                0.18213,                0.80318,                0.98364,                      1,                0.97984,                  0.926,                0.33201,                0.22954,                0.73776,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.24839,                0.17737,                0.79444,                0.98373,                      1,                0.97995,                0.92714,                0.33233,                0.22891,                0.73816,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.24974,                0.18093,                0.80319,                0.98382,                      1,                0.98132,                0.93267,                0.32767,                0.22712,                0.73793,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.24471,                0.17738,                0.80021,                0.98386,                      1,                0.98204,                0.93261,                 0.3233,                0.22587,                0.73762,               3.98e-05,               3.98e-05,               3.98e-05
